Start:18:29 09-12
Header Write:18:29 09-12
Loop:18:36:12 09-12 Lat:42.689392434 Long:23.335073309
Coord-Write:18:36 09-12 Lat:42.689355774 Long:23.33505881
Loop:18:36:14 09-12 Lat:42.689355774 Long:23.33505881
Coord-Write:18:36 09-12 Lat:42.689328147 Long:23.335033108
Loop:18:36:16 09-12 Lat:42.689328147 Long:23.335033108
Coord-Write:18:36 09-12 Lat:42.689273531 Long:23.334948093
Loop:18:36:18 09-12 Lat:42.689273531 Long:23.334948093
Coord-Write:18:36 09-12 Lat:42.689206694 Long:23.334858245
Loop:18:36:20 09-12 Lat:42.689206694 Long:23.334858245
Coord-Write:18:36 09-12 Lat:42.689156912 Long:23.334750824
Loop:18:36:22 09-12 Lat:42.689156912 Long:23.334750824
Coord-Write:18:36 09-12 Lat:42.689091724 Long:23.334622534
Loop:18:36:24 09-12 Lat:42.689091724 Long:23.334622534
Coord-Write:18:36 09-12 Lat:42.689065746 Long:23.334558389
Loop:18:36:26 09-12 Lat:42.689065746 Long:23.334558389
Coord-Write:18:36 09-12 Lat:42.689055943 Long:23.334542353
Loop:18:36:28 09-12 Lat:42.689055943 Long:23.334542353
Coord-Write:18:36 09-12 Lat:42.689050975 Long:23.33450391
Loop:18:36:30 09-12 Lat:42.689050975 Long:23.33450391
Loop:18:36:32 09-12 Lat:42.689050975 Long:23.33450391
Loop:18:36:34 09-12 Lat:42.689050975 Long:23.33450391
Loop:18:36:36 09-12 Lat:42.689050975 Long:23.33450391
Loop:18:36:38 09-12 Lat:42.689050975 Long:23.33450391
Loop:18:36:40 09-12 Lat:42.689050975 Long:23.33450391
Loop:18:36:42 09-12 Lat:42.689050975 Long:23.33450391
Loop:18:36:44 09-12 Lat:42.689050975 Long:23.33450391
Loop:18:36:46 09-12 Lat:42.689050975 Long:23.33450391
Loop:18:36:48 09-12 Lat:42.689050975 Long:23.33450391
Loop:18:36:50 09-12 Lat:42.689050975 Long:23.33450391
Coord-Write:18:36 09-12 Lat:42.689041172 Long:23.334487874
Loop:18:36:52 09-12 Lat:42.689041172 Long:23.334487874
Coord-Write:18:36 09-12 Lat:42.688971918 Long:23.33440923
Loop:18:36:54 09-12 Lat:42.688971918 Long:23.33440923
Coord-Write:18:36 09-12 Lat:42.688903676 Long:23.334325754
Loop:18:36:56 09-12 Lat:42.688903676 Long:23.334325754
Coord-Write:18:36 09-12 Lat:42.688862048 Long:23.334272812
Loop:18:36:58 09-12 Lat:42.688862048 Long:23.334272812
Coord-Write:18:36 09-12 Lat:42.688726199 Long:23.334072251
Loop:18:37:00 09-12 Lat:42.688726199 Long:23.334072251
Coord-Write:18:37 09-12 Lat:42.688662022 Long:23.333939129
Loop:18:37:02 09-12 Lat:42.688662022 Long:23.333939129
Coord-Write:18:37 09-12 Lat:42.688636813 Long:23.333902224
Loop:18:37:04 09-12 Lat:42.688636813 Long:23.333902224
Coord-Write:18:37 09-12 Lat:42.688569206 Long:23.333785139
Loop:18:37:06 09-12 Lat:42.688569206 Long:23.333785139
Coord-Write:18:37 09-12 Lat:42.688508985 Long:23.333695293
