pkey,timestamp,lat,long,alt,speed,climb,mode,heading
124,2014-11-26 02:28:10.133108,42.690699148,23.343601057,566.052,0.0,0.0,3,0.0
125,2014-11-26 02:28:11.190358,42.690699148,23.343601057,566.052,0.0,0.0,3,0.0
126,2014-11-26 02:28:12.252319,42.690699148,23.343601057,566.052,0.0,0.0,3,0.0
127,2014-11-26 02:28:13.301961,42.690699148,23.343601057,566.052,0.17,-0.048,3,74.9317
128,2014-11-26 02:28:16.511661,42.690701566,23.343589854,565.761,0.213,-0.037,3,230.3602
129,2014-11-26 02:28:18.033365,42.690701566,23.343589854,565.761,0.0,0.0,3,0.0
130,2014-11-26 02:28:19.085568,42.690701566,23.343589854,565.761,0.0,0.0,3,0.0
131,2014-11-26 02:28:20.134730,42.690701566,23.343589854,565.761,0.213,-0.036,3,342.2072
132,2014-11-26 02:28:21.205839,42.690708182,23.343589854,566.439,0.213,-0.036,3,342.2072
133,2014-11-26 02:28:22.256628,42.690708182,23.343589854,566.439,0.213,-0.036,3,342.2072
134,2014-11-26 02:28:23.312796,42.690710601,23.343578651,566.148,0.12,-0.036,3,286.3106
135,2014-11-26 02:28:24.674229,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
136,2014-11-26 02:28:25.739890,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
137,2014-11-26 02:28:26.800149,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
138,2014-11-26 02:28:27.854167,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
139,2014-11-26 02:28:28.906648,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
140,2014-11-26 02:28:29.971974,42.690710601,23.343578651,566.148,0.092,-0.084,3,32.4766
141,2014-11-26 02:28:31.025977,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
142,2014-11-26 02:28:32.080126,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
143,2014-11-26 02:28:33.147307,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
144,2014-11-26 02:28:34.204259,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
145,2014-11-26 02:28:35.257703,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
146,2014-11-26 02:28:36.317090,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
147,2014-11-26 02:28:37.376870,42.690710601,23.343578651,566.148,0.267,-0.084,3,21.8125
148,2014-11-26 02:28:38.443843,42.690710601,23.343578651,566.148,0.279,-0.012,3,87.8145
149,2014-11-26 02:28:39.501739,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
150,2014-11-26 02:28:40.561025,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
151,2014-11-26 02:28:41.624140,42.690710601,23.343578651,566.148,0.177,0.0,3,196.2714
152,2014-11-26 02:28:42.701674,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
153,2014-11-26 02:28:43.763894,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
154,2014-11-26 02:28:44.833467,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
155,2014-11-26 02:28:45.897179,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
156,2014-11-26 02:28:47.113191,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
157,2014-11-26 02:28:48.483219,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
158,2014-11-26 02:28:50.105562,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
159,2014-11-26 02:28:51.172361,42.690710601,23.343578651,566.148,0.0,0.0,3,0.0
160,2014-11-26 02:28:52.233316,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
161,2014-11-26 02:28:53.288383,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
162,2014-11-26 02:28:54.350596,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
163,2014-11-26 02:28:55.415387,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
164,2014-11-26 02:28:56.488405,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
165,2014-11-26 02:28:57.552786,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
166,2014-11-26 02:28:58.617985,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
167,2014-11-26 02:28:59.676163,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
168,2014-11-26 02:29:01.245608,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
169,2014-11-26 02:29:02.849528,42.690717217,23.343578651,566.826,0.12,0.036,3,106.3106
170,2014-11-26 02:29:03.906662,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
171,2014-11-26 02:29:04.963732,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
172,2014-11-26 02:29:06.038887,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
173,2014-11-26 02:29:07.096909,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
174,2014-11-26 02:29:08.156599,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
175,2014-11-26 02:29:09.218259,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
176,2014-11-26 02:29:10.279961,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
177,2014-11-26 02:29:11.340903,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
178,2014-11-26 02:29:12.406097,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
179,2014-11-26 02:29:13.471352,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
180,2014-11-26 02:29:14.542910,42.690717217,23.343578651,566.826,0.0,0.0,3,0.0
181,2014-11-26 02:29:15.607112,42.690717217,23.343578651,566.826,0.12,0.036,3,106.3106
